DATE',ID_CAMS',0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-05',6377,6.2963099,6.1113353,6.0267935,7.3793287,6.8566265,8.2912483,9.4025974,9.1379023,8.6520720,8.4475670,8.7852783,8.8494825,7.2699037,7.3357000,7.1789770,6.7730703,6.9272580,6.9853668,7.1038575,7.1570401,7.2934766,6.9999270,6.5487695,6.6685281
2019-01-05',6378,7.1626182,7.0309482,6.6373630,7.2119389,10.310319,10.191793,9.5781727,9.6311617,9.5543480,9.3003607,8.7897978,9.1708469,8.1499681,8.2666245,8.1385794,7.7619467,7.9398527,8.2034073,8.1707373,8.1806059,7.8569512,7.4553852,6.9823427,7.1859169
2019-01-05',6379,7.3133669,6.9541245,6.5544991,6.7116318,9.8394852,10.060485,9.2336731,9.5784674,9.3246431,9.2742701,8.8570719,9.1672096,8.4411478,8.5496340,8.3626413,8.0040426,8.1763210,8.5465145,8.5341091,8.5569086,8.1880074,7.3626451,7.1938004,7.3061695
2019-01-05',6562,6.2963099,6.1113353,6.0267935,7.3793287,6.8566265,8.2912483,9.4025974,9.1379023,8.6520720,8.4475670,8.7852783,8.8494825,7.2699037,7.3357000,7.1789770,6.7730703,6.9272580,6.9853668,7.1038575,7.1570401,7.2934766,6.9999270,6.5487695,6.6685281
2019-01-05',6563,7.1626182,7.0309482,6.6373630,7.2119389,10.310319,10.191793,9.5781727,9.6311617,9.5543480,9.3003607,8.7897978,9.1708469,8.1499681,8.2666245,8.1385794,7.7619467,7.9398527,8.2034073,8.1707373,8.1806059,7.8569512,7.4553852,6.9823427,7.1859169
2019-01-05',6564,7.3133669,6.9541245,6.5544991,6.7116318,9.8394852,10.060485,9.2336731,9.5784674,9.3246431,9.2742701,8.8570719,9.1672096,8.4411478,8.5496340,8.3626413,8.0040426,8.1763210,8.5465145,8.5341091,8.5569086,8.1880074,7.3626451,7.1938004,7.3061695
2019-01-05',6747,6.1040516,6.1322255,6.3568263,7.0018315,7.8425188,9.4517632,10.645208,9.4757795,9.2770224,9.1678877,9.4037342,9.2978354,7.9404001,7.4722381,7.5791974,7.5859737,7.6280947,7.4266992,7.6368642,7.8267407,8.2860479,7.9190855,7.3043036,7.3962660
2019-01-05',6748,6.3992395,6.3323140,6.3440933,6.8495479,7.7333798,9.2334843,10.343256,9.4722843,8.9977655,8.6881285,9.1345243,9.3796186,7.5355330,7.5933995,7.4274678,7.3537827,7.1085458,7.2127690,7.2290125,7.2418365,7.1786671,6.9437375,6.6166973,6.7934132
2019-01-05',6749,6.4263253,6.6761031,6.4386806,6.7407923,7.5733085,9.0042915,10.117702,9.4448004,9.4706173,8.5748968,8.7961922,9.4470348,7.7713056,7.9307370,7.7696085,7.3113775,7.3400126,7.5170236,7.5678277,7.6426964,7.4396639,6.9914293,6.8910522,6.9826164
2019-01-06',6192,6.7894111,7.5332112,8.0224333,8.4851274,9.0190506,10.223368,12.887265,13.555225,13.565014,12.215621,10.050229,8.5849762,8.2870455,10.316271,11.339168,11.344270,10.808236,11.790636,13.032661,14.029496,13.853798,16.356977,15.026371,13.667115
2019-01-06',6193,7.4575772,7.9735489,8.3842983,8.8960772,9.3297281,9.9269857,10.660609,10.906663,10.108934,8.9053164,8.0481186,7.9089661,8.5781269,10.450776,10.396363,10.236931,10.557117,11.649806,13.064380,13.579438,15.699844,16.711496,14.190516,14.949219
2019-01-06',6194,7.3080506,7.6534066,7.8240499,8.1321011,8.4275093,8.9665594,9.5856295,9.8372116,9.3049412,8.2954998,7.9244275,8.1913643,9.0642519,10.291103,9.7466993,9.5602961,9.6101189,11.421949,12.730738,13.810308,17.243641,14.465200,13.745561,14.146391
2019-01-06',6377,6.9196110,7.7180948,8.2611761,8.3885498,9.8888969,11.570045,13.231381,15.057043,14.530286,12.956149,11.193521,10.123841,9.4803028,11.968723,12.334666,13.118835,12.969679,16.141972,15.986360,19.566925,19.585291,19.850063,17.995857,16.699129
2019-01-06',6378,7.5342021,8.1991034,8.6171293,9.1070795,9.6280422,10.961452,12.457060,12.654215,11.578294,10.215273,9.2068148,8.9007702,9.5201359,11.461879,12.009437,12.378166,11.883912,14.394178,16.250952,19.621496,20.264555,17.938503,15.726355,15.668700
2019-01-06',6379,7.2977905,7.7334423,7.9695692,8.3358278,8.7330990,9.6349535,10.714724,10.626653,10.058002,8.8553505,8.3864508,8.6333780,9.8038692,10.964470,11.303755,11.431751,11.074519,13.848652,17.370682,18.484627,18.662125,17.121523,15.312435,15.944405
2019-01-06',6562,6.9196110,7.7180948,8.2611761,8.3885498,9.8888969,11.570045,13.231381,15.057043,14.530286,12.956149,11.193521,10.123841,9.4803028,11.968723,12.334666,13.118835,12.969679,16.141972,15.986360,19.566925,19.585291,19.850063,17.995857,16.699129
2019-01-06',6563,7.5342021,8.1991034,8.6171293,9.1070795,9.6280422,10.961452,12.457060,12.654215,11.578294,10.215273,9.2068148,8.9007702,9.5201359,11.461879,12.009437,12.378166,11.883912,14.394178,16.250952,19.621496,20.264555,17.938503,15.726355,15.668700
2019-01-06',6564,7.2977905,7.7334423,7.9695692,8.3358278,8.7330990,9.6349535,10.714724,10.626653,10.058002,8.8553505,8.3864508,8.6333780,9.8038692,10.964470,11.303755,11.431751,11.074519,13.848652,17.370682,18.484627,18.662125,17.121523,15.312435,15.944405
2019-01-06',6747,7.3561969,7.7925596,8.5720243,9.3661432,10.200143,11.880610,12.985022,14.009803,13.531632,11.893461,9.7410011,9.6515579,9.8814325,11.158988,10.713095,11.380962,12.042193,12.802279,14.293364,19.993877,19.919771,20.338831,18.369049,17.804506
2019-01-06',6748,7.0548129,7.4586329,7.8109760,8.2412977,9.4094505,10.727086,11.892108,12.243279,11.244183,10.039570,9.1308718,8.8375597,9.3243675,10.314039,10.657075,11.196335,11.779776,12.751489,14.506185,19.176468,18.977009,18.691950,17.059858,16.793062
2019-01-06',6749,7.0867877,7.4585476,7.6585503,7.9923515,8.8567905,9.7159834,10.143419,9.6728773,8.9683142,8.7921696,8.1839457,8.3666973,9.4579067,9.8420973,10.188288,10.467460,10.972926,12.373992,15.193991,17.120655,17.684362,16.735655,15.737823,15.031655
2019-01-07',6192,13.093593,12.287759,11.175144,10.023969,10.589994,11.518034,11.791584,11.757401,11.959743,12.185353,11.815871,11.407173,11.718085,12.276641,12.938032,14.719487,15.621427,17.232624,18.333138,19.335064,19.223595,18.339363,17.978865,18.229832
